Pos_x Pos_y Pos_z n_x n_y n_z
5.923e+01 8.557e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.084e+02 1.120e+02 6.000e+02 0.000e+00 0.000e+00 1.000e+00
8.682e+01 6.522e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.043e+02 4.792e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.630e+02 1.004e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
9.613e+01 4.570e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.002e+02 3.121e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.007e+02 7.188e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.767e+02 1.269e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.232e+02 7.976e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.054e+02 4.404e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
7.605e+01 9.325e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
9.353e+01 8.856e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
4.714e+00 3.887e+00 2.000e+02 0.000e+00 0.000e+00 1.000e+00
6.054e+01 2.909e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
8.171e+01 1.082e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
6.613e+01 4.445e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
4.133e+01 3.070e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
9.821e+01 4.143e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.142e+02 5.764e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.026e+02 8.979e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.641e+01 1.257e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.489e+02 2.478e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
4.430e+01 6.744e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
8.715e+01 5.417e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.006e+02 1.112e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.231e+02 3.855e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.348e+02 1.287e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.311e+02 9.860e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
7.523e+01 7.602e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.603e+02 4.913e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.021e+02 1.171e+02 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.459e+02 1.270e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.436e+02 7.945e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
7.065e+01 1.353e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
6.474e+01 9.634e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
8.738e+01 1.338e+02 0.000e+00 0.000e+00 0.000e+00 1.000e+00
9.973e+01 9.330e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.594e+02 5.191e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
9.782e+01 1.450e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
7.698e+01 4.780e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
6.788e+01 1.815e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
5.960e+01 7.415e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.041e+02 1.543e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
3.273e+01 2.069e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
9.353e+01 1.133e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
5.034e+01 4.588e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.187e+02 3.605e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.125e+02 5.781e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.084e+02 7.417e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.129e+02 1.330e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
6.947e+01 5.299e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.103e+02 1.350e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.094e+02 6.678e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
5.835e+01 6.972e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
6.116e+01 4.005e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
7.938e+01 1.102e+02 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.023e+02 3.792e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
9.411e+01 8.488e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.331e+02 8.421e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
4.852e+01 6.018e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
9.821e+01 1.346e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
7.268e+01 1.060e+02 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.191e+02 1.011e+02 6.000e+02 0.000e+00 0.000e+00 1.000e+00
8.209e+01 3.501e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
4.174e+01 5.033e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.111e+02 6.400e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
1.660e+02 1.498e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
7.404e+01 2.353e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
7.730e+01 8.497e+01 2.000e+02 0.000e+00 0.000e+00 1.000e+00
1.038e+02 5.007e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
9.764e+01 3.546e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
7.778e+01 1.536e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00
1.146e+02 5.296e+01 6.000e+02 0.000e+00 0.000e+00 1.000e+00
8.811e+01 2.808e+01 4.000e+02 0.000e+00 0.000e+00 1.000e+00
1.029e+02 2.125e+01 0.000e+00 0.000e+00 0.000e+00 1.000e+00
